,index,sentence,old_model_label,pred_label
0,0, jetblue yes thankfully catering just got here and now they are loading but very frustrated was supposed to be there by 10 10 30,2,0.0
1,1, united yes have amp they re unsure when it would come this has never happened on any airline and my first time with united disappointed,0,0.0
2,2, united wife and have two new destinations and m stuck in dc until monday with no bags,0,0.0
3,3, united why do still not have my bags they arrived 10am amp website says they re still at the airport 2 1 2 hours late flightr nothappy,0,1.0
4,4, americanair dfwairport that dfw omg yeah cold everywhere ,1,0.0
5,5, southwestair 2 22 mdw 2 san flt 1687 attendant melissa was awesome fast smiling great after weather cancelled flight day b4 it was welcome,2,0.0
6,6, usairways 1729 connecting in charlotte to houston mechanical issue determined while d to take off and we checked our bags ,0,1.0
7,7, usairways website isnt working and cant talk to any1 on the phone to check flight status out of dfw roads are awful and cant get there,0,0.0
8,8, united so many delays today what up with that hoping my 12 26pm flight boards soon united premier1k,0,0.0
9,9, southwestair how many left m 15 min wway,1,0.0
10,10, united thank you yes was hoping to speak with someone directly but appreciate the link nonetheless ,0,0.0
11,11, jetblue kylejudah just spoke to the baggage claim center and they gave me travel credit but will not be responsible for the cost of a,0,0.0
12,12, united did not that why am very concerned ,1,0.0
13,13, southwestair what does this even mean m taking about letting elite customers who paid for seat fill seat that will go empty anyway ,0,0.0
14,14, usairways americanair first class all the way headed to portlandjetport http co kdmq0jps02,2,0.0
15,15, usairways if m unable to use my departing flight can still use the returning flight ,1,0.0
16,16, americanair no when call aa now can even get on hold can you help me ,0,2.0
17,17, americanair 2284 four hours late flightrs and we are finally flying out too bad missed my event,0,1.0
18,18, southwestair love you air travel doesn get easier ,2,1.0
19,19, jetblue in the sky on flight 833 from bos to sfo awesome crew helene rocks ,2,0.0
20,20, southwestair briughy me to comclassic aif2015 amp so much more with the agcommunity,1,2.0
21,21, usairways americanair usair 703 has returned to phl due to issues with the fire detectors what happens next ,0,1.0
22,22, united landed in den on time stuck waiting for gate for 30 min maybe an update would be good idea capt ,0,0.0
23,23, usairways so can make reservation,1,0.0
24,24, united possibly the worst airlinegave them three chances second time in 2 weeks flight has been delayed and or cancelled flightled due to mechanics,0,0.0
25,25, united why would person take hours and hours of wait time just to tell lie,0,0.0
26,26, southwestair 2 1 2 hours late flight but made it to sf maybe you can help me get on an earlier flight on sunday ,0,0.0
27,27, americanair why am not being given callback option why has this service been turned off ,0,0.0
28,28, united and that it would be sent on the next flight to hayden steamboat hdn from denver so m hoping its on there,0,1.0
29,29, jetblue this feels nice what we ve got going on here let just swap me out with the fool in 5a and we can make it all better ,1,0.0
30,30, usairways everyone on flight 669 from lax to rdu enjoyed waiting an hour amp half in baggage claim for their bags just now,0,0.0
31,31, united usually your lounge staff are fantastic except today in mco where almost denied entry to lounge even though traveling united first,0,1.0
32,32, americanair my sister just received call that her trip wednesday flts 2348 3499 was cancelled flightled and resched to next day why ,0,0.0
33,33, americanair still sitting in airport as 6 05 flt delayed until 6 55 but still not boarding what is happening no info ,0,0.0
34,34, americanair you are having phone issues please fix it ,0,0.0
35,35, jetblue new ceo seeks the right balance to please passengers and wall daily journal http co btb4awqtln,1,0.0
36,36,they didnt just tweet this nah rt jetblue our fleet on fleek http co 1yln1gx4qx ,1,0.0
37,37, jetblue so don know confirmation number or the names of the flight attendants and supervisor,1,0.0
38,38, united been solved they finally picked up the second time called thanks for the response jh 7 21 to dulles works ,2,0.0
39,39, jetblue thank you for the refund of the change fee for recent flight affected by our bizarre winter excellent customer service and focus,2,0.0
40,40, jetblue pls send an it tech 2 baggage office poor guy is trying 2 print my claim amp can i need 2 get home upgrade 2 hp printers mfps,0,2.0
41,41,power moves rt jetblue our fleet on fleek http co t9s68korsn,2,0.0
42,42, southwestair just had great flight 4223 with damion he was the best damionflight4223,2,0.0
43,43, virginamerica you have the absolute best team and customer service ever every time fly with you m delighted thank you ,2,2.0
44,44, united you are trying to charge me 150 bucks because you lowered your award tickets and want to get my hard earn points back total bs,0,0.0
45,45, usairways its not just phl at btv today made to deplane because it sunday and we don know if maintenance will be available ,0,0.0
